11,0,1,0,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24
5,0,0,1,0.315,0.21,0.06,0.125,0.06,0.0375,0.035
8,0,0,1,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945
8,1,0,0,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175
10,0,0,1,0.57,0.425,0.14,0.7655,0.331,0.14,0.24
7,0,0,1,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195
10,0,1,0,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105
6,0,0,1,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075
9,1,0,0,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025
12,1,0,0,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553
8,0,0,1,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305
8,0,1,0,0.255,0.195,0.065,0.08,0.0315,0.018,0.027
7,0,0,1,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16
6,0,1,0,0.26,0.2,0.065,0.096,0.044,0.027,0.03
8,0,0,1,0.32,0.255,0.085,0.1745,0.072,0.033,0.057
11,1,0,0,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48
14,0,1,0,0.57,0.48,0.18,0.9395,0.399,0.2,0.295
10,1,0,0,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308
8,0,1,0,0.295,0.23,0.085,0.125,0.042,0.0285,0.043
11,0,1,0,0.585,0.45,0.15,0.997,0.4055,0.283,0.251
10,1,0,0,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293
8,0,0,1,0.5,0.385,0.12,0.516,0.197,0.1305,0.165
11,0,1,0,0.555,0.45,0.145,0.915,0.4,0.246,0.285
8,1,0,0,0.655,0.455,0.17,1.275,0.583,0.303,0.333
9,0,0,1,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19
7,0,1,0,0.27,0.195,0.07,0.106,0.0465,0.018,0.036
9,1,0,0,0.575,0.47,0.165,0.869,0.435,0.197,0.238
8,0,0,1,0.395,0.32,0.1,0.3075,0.149,0.0535,0.09
8,0,1,0,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115
15,1,0,0,0.605,0.495,0.19,1.437,0.469,0.2655,0.41
14,0,1,0,0.59,0.455,0.145,1.073,0.475,0.19,0.285
8,0,1,0,0.36,0.295,0.105,0.241,0.0865,0.053,0.095
7,0,0,1,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065
9,1,0,0,0.595,0.47,0.155,1.1775,0.542,0.269,0.31
7,0,0,1,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615
10,0,1,0,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955
8,0,1,0,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.216
9,0,1,0,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273
10,1,0,0,0.67,0.585,0.16,1.309,0.5445,0.2945,0.413
10,0,1,0,0.695,0.55,0.205,2.173,1.133,0.4665,0.496
7,0,0,1,0.425,0.325,0.11,0.3335,0.173,0.045,0.1
3,0,0,1,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004
10,1,0,0,0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705
12,1,0,0,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41
11,0,1,0,0.595,0.455,0.145,0.942,0.43,0.182,0.277
