route_id,timestamp,latitude,longitude
1,1674468040.644,52.51804,13.3798
1,1674468218.016,52.5133,13.3825
1,1674468370.246,52.51038,13.38981
1,1674468411.005,52.51117,13.40119
1,1674468526.389,52.51372,13.40544
1,1674468602.697,52.51082,13.40983
1,1674468753.090,52.51127,13.41348
1,1674468769.863,52.50991,13.42069
2,1674468240.307,52.5005,13.3948
2,1674468390.293,52.506,13.3976
2,1674468482.481,52.5103,13.401
2,1674468555.686,52.5132,13.4048
2,1674468613.248,52.5162,13.4086
2,1674468783.823,52.5215,13.4161
